model,symbol,side,entry_time,exit_time,entry_price,exit_price,size_qty,return_pct,bars_held,memory_matches,memory_ids
deepseek-chat,BTCUSDT,long,2025-01-08 06:45:00+00:00,2025-01-11 06:45:00+00:00,95774.0,94377.77,0.05220623551276964,-1.457838244199883,288,3,c2d3d13626d54aa197693eb5a2a39c4a;0f22a7578e9142079758c27f6e239807;1809222d21524cafa77a6c8ff0795d0d
deepseek-chat,BTCUSDT,long,2025-02-13 06:45:00+00:00,2025-02-16 06:45:00+00:00,96165.01,97523.5,0.05156334928889417,1.4126655838750553,288,3,1809222d21524cafa77a6c8ff0795d0d;c2d3d13626d54aa197693eb5a2a39c4a;0f22a7578e9142079758c27f6e239807
deepseek-chat,BTCUSDT,long,2025-02-28 06:45:00+00:00,2025-03-03 06:45:00+00:00,79348.0,91994.0,0.06287014165448404,15.93738972626909,288,3,1809222d21524cafa77a6c8ff0795d0d;fac4cfa5d6f1476093864f2a2e87eb63;2318f85fded0484abc421ec0727b834b
deepseek-chat,BTCUSDT,long,2025-03-18 06:45:00+00:00,2025-03-21 06:45:00+00:00,82319.14,84221.95,0.06536474992328638,2.311503740199421,288,3,c2d3d13626d54aa197693eb5a2a39c4a;0f22a7578e9142079758c27f6e239807;2318f85fded0484abc421ec0727b834b
deepseek-chat,BTCUSDT,long,2025-07-25 06:45:00+00:00,2025-07-28 06:45:00+00:00,115379.72,119477.64,0.047127086111840105,3.5516813526675204,288,3,d112c42eb7bc4c94afc7516e0e7586f2;1809222d21524cafa77a6c8ff0795d0d;fac4cfa5d6f1476093864f2a2e87eb63
deepseek-chat,BTCUSDT,long,2025-08-18 06:45:00+00:00,2025-08-21 06:45:00+00:00,115042.67,113773.75,0.04805634292041379,-1.1029994349053254,288,3,3c223cc8470a4adbab3cf82afadc96f6;d112c42eb7bc4c94afc7516e0e7586f2;1809222d21524cafa77a6c8ff0795d0d
deepseek-chat,BTCUSDT,long,2025-09-05 06:45:00+00:00,2025-09-08 06:45:00+00:00,111656.47,111165.65,0.04919150677072274,-0.4395804381062799,288,3,a6fde657712c437ea3e02e115724595e;0d9d03438f4b4c46bd225797c8c24378;4cb7ee539e2a4b8d85e4ece814309de5
deepseek-chat,BTCUSDT,long,2025-09-23 06:45:00+00:00,2025-09-26 06:45:00+00:00,112924.2,109560.02,0.04848376167375992,-2.9791488449774213,288,3,2522e6b2366b463bb002a3eeeaabab31;c99eca6f8aac457c8c1c7858e59cdbb4;4f94191ecc834e21bd871e63b1e450e7
deepseek-chat,BTCUSDT,long,2025-10-14 06:45:00+00:00,2025-10-20 06:45:00+00:00,110185.20060813735,111319.32,0.0733254552826337,1.029284682156213,576,3,1809222d21524cafa77a6c8ff0795d0d;fac4cfa5d6f1476093864f2a2e87eb63;c2d3d13626d54aa197693eb5a2a39c4a
deepseek-chat,BTCUSDT,long,2025-11-28 06:45:00+00:00,2025-12-01 06:45:00+00:00,91408.49,86289.85,0.05931079268457448,-5.599742430927366,288,3,cf1daf5b03dd46308800c00901580adf;46c32de66ffd41058fb4ba4e8091bb64;055fc9717c6447dc8cf25b3231bec010
