model,symbol,side,entry_time,exit_time,entry_price,exit_price,size_qty,return_pct,bars_held,memory_matches,memory_ids
qwen-max,BTCUSDT,long,2025-01-08 06:45:00+00:00,2025-01-11 06:45:00+00:00,95774.0,94377.77,0.05220623551276964,-1.457838244199883,288,3,c2d3d13626d54aa197693eb5a2a39c4a;0f22a7578e9142079758c27f6e239807;1809222d21524cafa77a6c8ff0795d0d
qwen-max,BTCUSDT,long,2025-02-10 06:45:00+00:00,2025-02-16 06:45:00+00:00,96738.63388206142,97523.5,0.07686081249674101,0.8113264436785913,576,3,fd5eb41ac4ae4e458b6801f33f3a5fb8;39917a12327c4b96b6d249c017be99e8;75d7d052093f409fb54a4100fb5605b9
qwen-max,BTCUSDT,long,2025-02-22 06:45:00+00:00,2025-02-25 06:45:00+00:00,96353.13,91584.84,0.027167,-4.948765027145468,288,3,93ea52ef8f274538acc49e2b1f4cc5f3;c544a0f07d7d4da39f90e491db714cd1;dab3174f8826406f8419e78b9259867b
qwen-max,BTCUSDT,long,2025-02-22 06:45:00+00:00,2025-03-03 06:45:00+00:00,85178.18167331198,91994.0,0.02025,8.001835907731703,864,3,93ea52ef8f274538acc49e2b1f4cc5f3;c544a0f07d7d4da39f90e491db714cd1;dab3174f8826406f8419e78b9259867b
qwen-max,BTCUSDT,long,2025-02-22 06:45:00+00:00,2025-03-06 06:45:00+00:00,85178.18167331198,91885.49,0.051301357373006284,7.874444129851109,1152,3,93ea52ef8f274538acc49e2b1f4cc5f3;c544a0f07d7d4da39f90e491db714cd1;dab3174f8826406f8419e78b9259867b
qwen-max,BTCUSDT,long,2025-03-18 06:45:00+00:00,2025-03-21 06:45:00+00:00,82319.14,84221.95,0.03053,2.311503740199421,288,3,c2d3d13626d54aa197693eb5a2a39c4a;0f22a7578e9142079758c27f6e239807;e34252a34d0b40fba86d383319e8069d
qwen-max,BTCUSDT,long,2025-03-18 06:45:00+00:00,2025-03-24 06:45:00+00:00,82319.14,86994.66,0.03201547848774902,5.679748354999827,576,3,c2d3d13626d54aa197693eb5a2a39c4a;0f22a7578e9142079758c27f6e239807;e34252a34d0b40fba86d383319e8069d
qwen-max,BTCUSDT,long,2025-04-11 06:45:00+00:00,2025-04-14 06:45:00+00:00,81170.95,84541.75,0.06464541809600602,4.152717197470281,288,3,4cb7ee539e2a4b8d85e4ece814309de5;339717ffc1624a219896f0b67faff306;d537e226d66a439d93d45ae99c85a6d9
qwen-max,BTCUSDT,long,2025-04-17 06:45:00+00:00,2025-04-20 06:45:00+00:00,84755.1,84969.98,0.03145,0.25353046601324297,288,3,2522e6b2366b463bb002a3eeeaabab31;c99eca6f8aac457c8c1c7858e59cdbb4;4f94191ecc834e21bd871e63b1e450e7
qwen-max,BTCUSDT,long,2025-04-17 06:45:00+00:00,2025-04-23 06:45:00+00:00,84755.1,93631.52,0.03168389990690825,10.473021682471021,576,3,2522e6b2366b463bb002a3eeeaabab31;c99eca6f8aac457c8c1c7858e59cdbb4;4f94191ecc834e21bd871e63b1e450e7
qwen-max,BTCUSDT,long,2025-05-17 06:45:00+00:00,2025-05-20 06:45:00+00:00,103478.49,105511.09,0.0530489959797442,1.9642729614628036,288,3,055fc9717c6447dc8cf25b3231bec010;fad5b5bc060145f1a67248f45327efa7;cf1daf5b03dd46308800c00901580adf
qwen-max,BTCUSDT,long,2025-06-07 06:45:00+00:00,2025-06-10 06:45:00+00:00,104895.99,109570.31,0.025246,4.456147465694344,288,3,d94ed17f0b524b279b4ab22af98ae27a;b2940e542f3b442d915cd8fc3c72c66a;2ee2b33f48c14caaab50d7ec09574ce6
qwen-max,BTCUSDT,long,2025-06-07 06:45:00+00:00,2025-06-13 06:45:00+00:00,104895.99,103987.44,0.01377362,-0.866143691479534,576,3,d94ed17f0b524b279b4ab22af98ae27a;b2940e542f3b442d915cd8fc3c72c66a;2ee2b33f48c14caaab50d7ec09574ce6
qwen-max,BTCUSDT,long,2025-06-07 06:45:00+00:00,2025-06-16 06:45:00+00:00,104895.99,106659.3,0.013773627863907855,1.6810080156543616,864,3,d94ed17f0b524b279b4ab22af98ae27a;b2940e542f3b442d915cd8fc3c72c66a;2ee2b33f48c14caaab50d7ec09574ce6
qwen-max,BTCUSDT,long,2025-06-22 06:45:00+00:00,2025-06-25 06:45:00+00:00,102728.01,106438.13,0.05448455586747957,3.6115953185504224,288,3,aa17de6c446f4de69b3faeb74201e236;4879cbeabf1e4b12b2ec726f55ae93c2;8e74c73d59ac4a76a2eaddf37ead81b3
qwen-max,BTCUSDT,long,2025-06-28 06:45:00+00:00,2025-07-01 06:45:00+00:00,107396.98,106828.61,0.026502,-0.5292234474377169,288,3,85d622773f7341a5b29524288a35c3f3;5bdf017f9f054d50b9a9fde4c3f11f6a;af97078b3f104c0b9cc11444546ad275
qwen-max,BTCUSDT,long,2025-06-28 06:45:00+00:00,2025-07-04 06:45:00+00:00,107396.98,108930.2,0.01325096,1.4276192868738034,576,3,85d622773f7341a5b29524288a35c3f3;5bdf017f9f054d50b9a9fde4c3f11f6a;af97078b3f104c0b9cc11444546ad275
qwen-max,BTCUSDT,long,2025-06-28 06:45:00+00:00,2025-07-07 06:45:00+00:00,107396.98,108822.21,0.01325095,1.327067111198109,864,3,85d622773f7341a5b29524288a35c3f3;5bdf017f9f054d50b9a9fde4c3f11f6a;af97078b3f104c0b9cc11444546ad275
qwen-max,BTCUSDT,long,2025-06-28 06:45:00+00:00,2025-07-10 06:45:00+00:00,107396.98,111141.93,1.2831664342183302e-09,3.4870161153507264,1152,3,85d622773f7341a5b29524288a35c3f3;5bdf017f9f054d50b9a9fde4c3f11f6a;af97078b3f104c0b9cc11444546ad275
qwen-max,BTCUSDT,long,2025-07-13 06:45:00+00:00,2025-07-19 06:45:00+00:00,118069.75420645444,118097.98,0.07237577529853835,0.02390603227326222,576,3,fa7082a6e96d4ed69b3f0222b9b813b1;2522e6b2366b463bb002a3eeeaabab31;c99eca6f8aac457c8c1c7858e59cdbb4
qwen-max,BTCUSDT,long,2025-07-22 06:45:00+00:00,2025-07-28 06:45:00+00:00,116460.49993377451,119477.64,0.09727890577871763,2.5906981920403838,576,3,e26ec3d4fd3646f5b4f4ab314b187e4b;7c6d4ea0b9b04862afae854f4bf49334;75d7d052093f409fb54a4100fb5605b9
qwen-max,BTCUSDT,long,2025-08-06 06:45:00+00:00,2025-08-12 06:45:00+00:00,115316.08057401456,118965.34,0.10100343284321284,3.164571157656711,576,3,ce043225ce8e4c31abdf94d691309a0a;fd5eb41ac4ae4e458b6801f33f3a5fb8;39917a12327c4b96b6d249c017be99e8
qwen-max,BTCUSDT,long,2025-08-18 06:45:00+00:00,2025-08-21 06:45:00+00:00,115042.67,113773.75,0.026318,-1.1029994349053254,288,3,1809222d21524cafa77a6c8ff0795d0d;e34252a34d0b40fba86d383319e8069d;c2d3d13626d54aa197693eb5a2a39c4a
qwen-max,BTCUSDT,long,2025-08-18 06:45:00+00:00,2025-08-24 06:45:00+00:00,115042.67,115013.89,0.025828216703767393,-0.025016804634314237,576,3,1809222d21524cafa77a6c8ff0795d0d;e34252a34d0b40fba86d383319e8069d;c2d3d13626d54aa197693eb5a2a39c4a
qwen-max,BTCUSDT,long,2025-08-30 06:45:00+00:00,2025-09-02 06:45:00+00:00,108275.14,110424.03,0.05519254004197085,1.984656865832729,288,3,39102d61106b48a8951b6bc8dbd72427;aa17de6c446f4de69b3faeb74201e236;82f69d35a88f4339915f20588f291175
qwen-max,BTCUSDT,long,2025-09-05 06:45:00+00:00,2025-09-08 06:45:00+00:00,111656.47,111165.65,0.053998214344408345,-0.4395804381062799,288,3,a6fde657712c437ea3e02e115724595e;0d9d03438f4b4c46bd225797c8c24378;4cb7ee539e2a4b8d85e4ece814309de5
qwen-max,BTCUSDT,long,2025-09-11 06:45:00+00:00,2025-09-14 06:45:00+00:00,114388.01,115723.64,0.05254029683705486,1.1676311179816878,288,3,0d9d03438f4b4c46bd225797c8c24378;85d622773f7341a5b29524288a35c3f3;5bdf017f9f054d50b9a9fde4c3f11f6a
qwen-max,BTCUSDT,long,2025-09-20 06:45:00+00:00,2025-09-26 06:45:00+00:00,114745.671844305,109560.02,0.07891818361817748,-4.519257032492919,576,3,4879cbeabf1e4b12b2ec726f55ae93c2;8e74c73d59ac4a76a2eaddf37ead81b3;aa17de6c446f4de69b3faeb74201e236
qwen-max,BTCUSDT,long,2025-10-14 06:45:00+00:00,2025-10-20 06:45:00+00:00,110185.202908339,111319.32,0.07927942926480638,1.0292825730914743,576,3,1809222d21524cafa77a6c8ff0795d0d;c2d3d13626d54aa197693eb5a2a39c4a;0f22a7578e9142079758c27f6e239807
qwen-max,BTCUSDT,long,2025-10-26 06:45:00+00:00,2025-11-01 06:45:00+00:00,112092.00590270516,109967.1,0.0784147801550572,-1.8956801473867408,576,3,fad5b5bc060145f1a67248f45327efa7;055fc9717c6447dc8cf25b3231bec010;daac1d9734e844ee9605d05760b7ca6e
qwen-max,BTCUSDT,long,2025-11-07 06:45:00+00:00,2025-11-10 06:45:00+00:00,102080.84,106188.3,0.05652098865957608,4.023732563329227,288,3,6cacb5eed958432195c8314ebbb42957;e26ec3d4fd3646f5b4f4ab314b187e4b;047f6120b43346be8f7079d98d5fa599
